#z	f(z)	f'(z)	p(z)	p'(z)
+3.8000	-0.7910	+0.6119	+120655317856.4511	-51272946977.6098
+3.9000	-0.7259	+0.6878	+115435656872.5348	-53076123126.4086
+4.0000	-0.6536	+0.7568	+110048782740.1072	-54618622340.6839
+4.1000	-0.5748	+0.8183	+104520335438.7017	-55909037732.1486
+4.2000	-0.4903	+0.8716	+98875084542.7145	-56956178782.0148
+4.3000	-0.4008	+0.9162	+93136909212.3331	-57769039032.8233
+4.4000	-0.3073	+0.9516	+87328781341.0974	-58356765257.6200
+4.5000	-0.2108	+0.9775	+81472751714.2520	-58728628068.7255
+4.6000	-0.1122	+0.9937	+75589939035.7937	-58893993928.8861
+4.7000	-0.0124	+0.9999	+69700521685.8157	-58862298528.1383
+4.8000	+0.0875	+0.9962	+63823732073.3864	-58643021490.2569
+4.9000	+0.1865	+0.9825	+57977853453.7905	-58245662373.1859
